ts,protons_gt_1MeV,protons_gt_5MeV,protons_gt_10MeV,protons_gt_30MeV,protons_gt_50MeV,protons_gt_100MeV,electrons_gt_0_8MeV,electrons_gt_2_0MeV,F10_7,speed_km_s,density_protons_cm3,P10_max,група
2017-08-28 00:00:00,9.778333333333334,0.3249166666666667,0.19291666666666665,0.09885,0.07758333333333332,0.04069166666666667,20941.666666666668,1011.5833333333334,82.0,285.0,3.0,0.314,тиха
2017-08-28 01:00:00,7.994166666666666,0.2916666666666667,0.15658333333333332,0.07258333333333333,0.0587,0.02995,18091.666666666668,713.0,82.0,305.0,3.4,0.259,тиха
2017-08-28 02:00:00,6.099166666666666,0.283,0.17766666666666667,0.08445000000000001,0.06964166666666667,0.035025,14108.333333333334,380.8333333333333,82.0,309.0,1.7,0.321,тиха
2017-08-28 03:00:00,4.7525,0.23683333333333334,0.16633333333333333,0.08765833333333334,0.06809166666666668,0.03551666666666667,12766.666666666666,267.9166666666667,82.0,304.0,2.0,0.244,тиха
2017-08-28 04:00:00,4.158333333333334,0.3349166666666667,0.20833333333333334,0.0848,0.07285,0.03970833333333334,11333.333333333334,203.0,82.0,302.0,2.3,0.309,тиха
2017-08-28 05:00:00,2.904166666666667,0.24033333333333332,0.1668333333333333,0.07729166666666666,0.06369166666666666,0.03488333333333333,9685.833333333334,152.41666666666666,82.0,304.0,2.4,0.284,тиха
2017-08-28 06:00:00,3.421666666666667,0.28191666666666665,0.16341666666666668,0.08384166666666666,0.06699166666666667,0.03758333333333334,8650.0,127.91666666666667,82.0,319.0,3.2,0.249,тиха
2017-08-28 07:00:00,2.9783333333333335,0.32458333333333333,0.19666666666666666,0.10028333333333334,0.07681666666666666,0.03933333333333333,6424.166666666667,95.49166666666667,82.0,319.0,2.8,0.316,тиха
2017-08-28 08:00:00,2.611666666666667,0.30233333333333334,0.18775,0.09535,0.07446666666666667,0.03768333333333333,4602.5,70.01666666666667,82.0,319.0,3.2,0.28,тиха
2017-08-28 09:00:00,2.5541666666666667,0.2936666666666667,0.17958333333333332,0.09655833333333334,0.07619166666666667,0.03883333333333333,4761.666666666667,82.34166666666667,82.0,306.0,4.0,0.258,тиха
2017-08-28 10:00:00,2.3874999999999997,0.2990833333333333,0.19283333333333333,0.097425,0.06743333333333333,0.038391666666666664,4598.333333333333,89.7,82.0,305.0,4.0,0.407,тиха
2017-08-28 11:00:00,2.3833333333333333,0.28758333333333336,0.1729166666666667,0.08349166666666667,0.06394166666666666,0.03169166666666667,5865.833333333333,124.83333333333333,82.0,307.0,3.3,0.326,тиха
2017-08-28 12:00:00,2.5124999999999997,0.25375,0.16774999999999998,0.09288333333333333,0.070075,0.04043333333333333,9123.333333333334,208.41666666666666,82.0,303.0,2.9,0.257,тиха
2017-08-28 13:00:00,3.2541666666666664,0.3060833333333333,0.17525,0.08556666666666667,0.06236666666666666,0.03025833333333333,12200.0,264.3333333333333,82.0,306.0,2.8,0.358,тиха
2017-08-28 14:00:00,2.5900000000000003,0.24450000000000002,0.19325,0.11379166666666667,0.09004166666666667,0.04893333333333333,13875.0,303.1666666666667,82.0,294.0,3.2,0.334,тиха
2017-08-28 15:00:00,3.0933333333333333,0.29291666666666666,0.19799999999999998,0.08984166666666667,0.06795833333333333,0.035875,15925.0,406.25,82.0,303.0,2.0,0.338,тиха
